name,url,description,logo,category,subCategory,tags
TextFX,"https://aitestkitchen.withgoogle.com/tools/text-fx","一个为作家和说唱歌手设计的AI创意写作工具，提供多种文字游戏和技巧。",,AI写作,探索,"免费,实验性,创意"
Waymark,"https://waymark.com","一个AI视频创作平台，专注于为本地企业快速生成高质量的电视和网络广告。",,AI视频,专业,"广告,付费"
Gencraft,"https://gencraft.com","一个AI艺术和视频生成器，提供多种风格和模型。",,AI绘画,探索,"免费增值"
Veed.io,"https://www.veed.io","一个在线视频编辑平台，集成了大量的AI功能，如自动字幕、移除背景、清理音频等。",,AI视频,常用,"视频编辑,集成"
Fliki,"https://fliki.ai","一个可以将文本（如博客文章）快速转换成带有配音和素材的视频的AI工具。",,AI视频,常用,"文生视频,自动化"
Play.ht,"https://play.ht","一个功能强大的AI语音生成器和文本转语音平台，提供多种超现实的声音。",,AI音频,专业,"语音合成,付费"
Resemble.ai,"https://www.resemble.ai","一个专注于声音克隆和实时语音转换的AI平台。",,AI音频,专业,"声音克隆,付费,开发者"
Soundraw,"https://soundraw.io","一个为创作者设计的AI音乐生成器，可以根据情绪、风格和时长生成独特的音乐。",,AI音频,常用,"配乐,免费增值"
Boomy,"https://boomy.com","一个让任何人都可以通过AI创作原创歌曲并将其发布到流媒体平台的工具。",,AI音频,探索,"音乐生成,免费"
PhotoRoom,"https://www.photoroom.com","一个强大的AI图片编辑应用，尤其擅长为电商产品图移除和替换背景。",,AI设计,常用,"电商,图片编辑,免费增值"
Microsoft Designer,"https://designer.microsoft.com","微软推出的AI设计工具，可以根据一句话描述快速生成社交媒体帖子、邀请函等设计。",,AI设计,常用,"免费,官方"
Galileo AI,"https://www.usegalileo.ai","一个可以使用文本提示快速生成可编辑的UI界面的AI设计工具。",,AI设计,探索,"UI设计,付费"
Lovo.ai,"https://lovo.ai","一个广受好评的AI语音生成器和文本转语音平台，提供多种情感丰富的配音。",,AI音频,专业,"语音合成,付费"
Speechify,"https://speechify.com","一个文本转语音应用，可以将任何文本（网页、文档、PDF）朗读出来，帮助用户提高阅读效率。",,AI音频,常用,"听书,效率,免费增值"
DeepMind,"https://deepmind.google","Google旗下顶尖的人工智能研究实验室，其发布的模型如AlphaGo、AlphaFold等推动了行业发展。",,AI平台,专业,"研究,官方"
OpenAI,"https://openai.com","ChatGPT、DALL-E和Sora的开发者，全球领先的人工智能研究和部署公司。",,AI平台,专业,"官方,研究"
Anthropic,"https://www.anthropic.com","由前OpenAI成员创立的AI安全和研究公司，以其开发的Claude系列模型而闻名。",,AI平台,专业,"官方,研究,安全"
Coqui,"https://coqui.ai","一个提供开源文本转语音库和模型的平台，深受开发者喜爱。",,AI音频,专业,"开源,开发者"
Colab,"https://colab.research.google.com","Google提供的免费Jupyter Notebook环境，预装了多种AI和数据科学库，是学习和实验AI的绝佳平台。",,AI平台,常用,"免费,开发者,学习"
Kaggle,"https://www.kaggle.com","一个面向数据科学家和机器学习工程师的在线社区和竞赛平台。",,AI平台,专业,"数据科学,社区,竞赛"
TensorFlow,"https://www.tensorflow.org","由Google开发的端到端开源机器学习平台。",,AI平台,专业,"开源,框架,开发者"
PyTorch,"https://pytorch.org","由Meta AI开发的开源机器学习框架，以其灵活性和易用性深受研究人员喜爱。",,AI平台,专业,"开源,框架,开发者"
Scikit-learn,"https://scikit-learn.org","一个用于Python的免费机器学习库，提供了多种分类、回归和聚类算法。",,AI平台,专业,"开源,Python,数据科学"
Beautiful Soup,"https://www.crummy.com/software/BeautifulSoup/","一个用于从HTML和XML文件中提取数据的Python库，常用于网络爬虫。",,AI编程,专业,"Python,爬虫"
Pandas,"https://pandas.pydata.org","一个为Python语言提供高性能、易于使用的数据结构和数据分析工具的库。",,AI编程,专业,"Python,数据分析"
Numpy,"https://numpy.org","Python语言的一个扩展程序库，支持大量的维度数组与矩阵运算。",,AI编程,专业,"Python,科学计算"
Jupyter,"https://jupyter.org","一个开源项目，支持跨多种编程语言的交互式计算，其Jupyter Notebook是数据科学的标准工具。",,AI平台,常用,"开源,数据科学,开发者"
AnimateDiff,"https://github.com/guoyww/animatediff","一个可以为静态的AI绘画模型（如Stable Diffusion）添加动画能力的模型。",,AI视频,探索,"开源,动画"
Magic Leap,"https://www.magicleap.com","一家开发增强现实（AR）头戴设备的公司，其技术大量应用AI。",,AI硬件,探索,"AR,硬件"
Rabbit R1,"https://www.rabbit.tech","一款基于大型动作模型(LAM)的AI硬件设备，旨在通过自然语言完成用户的操作任务。",,AI硬件,探索,"硬件,LAM"
Humane Ai Pin,"https://humane.com","一款无屏幕、可穿戴的AI设备，通过语音、触摸和手势进行交互。",,AI硬件,探索,"硬件,可穿戴"
Synthesizer V,"https://dreamtonics.com/synthesizerv/","一款功能强大的歌声合成软件，其AI版本可以生成非常逼真的歌声。",,AI音频,专业,"歌声合成,付费"
Voice-Swap,"https://voice-swap.ai","一个允许音乐制作人将其声音转换为不同风格的、由知名艺术家提供的AI声音模型的平台。",,AI音频,专业,"声音转换,付费,音乐制作"
Splash,"https://www.splashmusic.com","一个结合了游戏和AI音乐创作的平台，让用户可以轻松制作和表演音乐。",,AI音频,探索,"音乐,游戏,免费"
Lemonaid,"https://www.lemonaid.ai","一个AI工具，可以将播客音频自动转换成博客文章、社交媒体帖子等多种内容形式。",,AI写作,专业,"内容再利用,播客,付费"
Swell AI,"https://www.swellai.com","一个为播客创作者服务的AI平台，可以自动生成节目摘要、章节、关键词和文章。",,AI写作,专业,"播客,自动化,付费"
Wix ADI,"https://www.wix.com/adi","知名建站平台Wix推出的AI设计智能工具，可以根据几个问题快速为用户创建一个完整的网站。",,AI设计,常用,"建站,自动化,免费增值"
Framer AI,"https://www.framer.com/ai","专业网页设计工具Framer集成的AI功能，可以快速生成和迭代网页布局、文案和样式。",,AI设计,专业,"网页设计,集成,付费"
Durable,"https://durable.co","一个声称可以在30秒内用AI为用户生成一个完整业务网站的平台。",,AI设计,探索,"建站,自动化"
10Web.io,"https://10web.io","一个AI驱动的WordPress平台，提供网站构建、托管和页面速度优化等服务。",,AI设计,专业,"WordPress,建站,付费"
Midjourney V6,"https://www.midjourney.com","Midjourney的最新模型版本，在图像真实感、细节和对提示词的理解上有了巨大飞跃。",,AI绘画,常用,"高质量,付费"
DALL-E 2,"https://openai.com/dall-e-2","OpenAI的前一代图像生成模型，仍然被广泛使用。",,AI绘画,探索,"官方,付费"
Craiyon,"https://www.craiyon.com","前身为DALL-E mini，一个免费的在线AI图像生成器，适合快速尝试和娱乐。",,AI绘画,探索,"免费,趣味"
DeepFloyd IF,"https://github.com/deep-floyd/IF","一个开源的文生图模型，以其出色的文字渲染能力而著称（可以在图片中准确生成文字）。",,AI绘画,探索,"开源,文字渲染"
Kandinsky,"https://www.kandinsky-ai.com","一个多模态AI模型，可以生成高质量的图像和视频。",,AI绘画,探索,"多模态"
Ideogram,"https://ideogram.ai","一个专注于在图像中生成可靠、美观文字的AI图像生成器。",,AI绘画,常用,"文字渲染,免费增值"
Lexica,"https://lexica.art","一个集成了AI图像生成器和大型提示词搜索引擎的网站。",,AI绘画,常用,"搜索引擎,提示词,免费增值"
GIMP,"https://www.gimp.org","一款免费、开源的图像编辑软件，通过社区插件可以集成多种AI功能。",,AI设计,常用,"开源,免费,图片编辑"
Krita,"https://krita.org","一款免费、开源的专业数字绘画软件，同样可以通过插件集成AI绘画功能。",,AI设计,常用,"开源,免费,绘画"
Lobe,"https://www.lobe.ai","微软推出的一个免费、易于使用的应用，可以帮助用户在没有编程基础的情况下训练自己的机器学习模型。",,AI平台,探索,"模型训练,免费,无代码"
Teachable Machine,"https://teachablemachine.withgoogle.com","Google推出的一个快速、简单的Web工具，可以训练计算机来识别你自己的图像、声音和姿势。",,AI平台,探索,"模型训练,免费,无代码"
RunPod,"https://www.runpod.io","一个提供高性价比GPU云服务的平台，适合运行和训练大型AI模型。",,AI平台,专业,"GPU,云服务,付费"
Vast.ai,"https://vast.ai","另一个GPU租赁市场，用户可以以较低的价格租用到个人或数据中心提供的GPU算力。",,AI平台,专业,"GPU,云服务,付费"
AssemblyAI,"https://www.assemblyai.com","一个提供语音转文本、语音理解等多种功能的AI语音API平台。",,AI音频,专业,"API,开发者,付费"
Deepgram,"https://deepgram.com","一个为企业提供快速、准确的自动语音识别(ASR)和自然语言理解(NLU)服务的平台。",,AI音频,专业,"API,开发者,企业级"
Coqui Studio,"https://coqui.ai/studio","Coqui提供的声音克隆和AI语音生成工作室。",,AI音频,专业,"声音克隆,付费"
Poly.ai,"https://poly.ai","一个专注于创建企业级AI语音客服和电话助手的平台。",,AI对话,专业,"客服,企业级,付费"
Rasa,"https://rasa.com","一个开源的对话式AI框架，用于构建聊天机器人和语音助手。",,AI对话,专业,"开源,开发者"
CodiumAI,"https://www.codium.ai","一个AI代码分析和测试工具，可以帮助开发者理解代码、生成测试用例。",,AI编程,专业,"代码测试,开发者,免费增值"
Bugasura,"https://bugasura.com","一个集成了AI功能的Bug跟踪和管理工具，旨在简化软件测试流程。",,AI编程,探索,"Bug跟踪,测试"
QuillBot,"https://quillbot.com","一个流行的AI写作和释义工具，可以帮助用户改写、总结和检查文本。",,AI写作,常用,"释义,免费增值"
Wordtune,"https://www.wordtune.com","一个AI写作伴侣，可以提供多种方式来改写你的句子，让表达更清晰、有力。",,AI写作,常用,"改写,免费增值"
Rytr,"https://rytr.me","一个提供多种模板和用例的AI内容生成器，性价比高。",,AI写作,常用,"免费增值,性价比"
ShortlyAI,"https://www.shortlyai.com","一个使用GPT技术的AI写作伙伴，以其简洁的界面和强大的长文写作能力著称。",,AI写作,探索,"长文,付费"
Frase.io,"https://www.frase.io","一个帮助内容创作者研究、撰写和优化SEO内容的AI平台。",,AI写作,专业,"SEO,付费"
Surfer SEO,"https://surferseo.com","另一个专注于SEO内容优化的AI工具，提供内容审计、关键词研究和写作建议。",,AI写作,专业,"SEO,付费"
Clearscope,"https://www.clearscope.io","一个顶级的SEO内容优化平台，被许多专业内容团队使用。",,AI写作,专业,"SEO,企业级"
MarketMuse,"https://www.marketmuse.com","一个利用AI进行内容策略、规划和优化的平台。",,AI写作,专业,"内容策略,企业级"
Stockimg.ai,"https://stockimg.ai","一个可以快速生成Logo、书籍封面、壁纸等多种设计资产的AI图像工具。",,AI设计,探索,"设计资产,免费增值"
Designs.ai,"https://designs.ai","一个集成了多种AI设计工具的在线平台，包括Logo、视频、语音和设计模板。",,AI设计,常用,"多合一,免费增值"
Khroma,"https://www.khroma.co","AI驱动的个性化配色方案生成器。",,AI设计,探索,"配色,免费"
Let's Enhance,"https://letsenhance.io","一个使用AI提升图片分辨率和质量的在线工具。",,AI设计,常用,"图片增强,免费增值"
Topaz Labs,"https://www.topazlabs.com","一家开发专业级AI图像和视频增强软件的公司，其产品如Gigapixel AI、Video AI广受好评。",,AI设计,专业,"图片增强,视频增强,付费"
Luminar Neo,"https://skylum.com/luminar","一款集成了多种AI功能的照片编辑软件。",,AI设计,专业,"照片编辑,付费"
Magic Eraser,"https://www.magiceraser.io","一个可以快速从图片中移除不需要的物体、人物或文字的AI工具。",,AI设计,常用,"图片编辑,免费"
WatermarkRemover.io,"https://www.watermarkremover.io","一个专门用于移除图片水印的AI工具。",,AI设计,常用,"去水印,免费"
HitPaw,"https://www.hitpaw.com","提供一系列多媒体工具，其AI功能包括视频/图片增强、物体移除等。",,AI设计,常用,"多合一,免费增值"
CapCut,"https://www.capcut.com","字节跳动旗下的流行视频剪辑应用，集成了大量AI功能，如自动字幕、AI特效等。",,AI视频,常用,"视频编辑,免费"
Motionleap,"https://www.motionleapapp.com","一个可以让静态照片动起来的创意编辑应用。",,AI视频,探索,"动画照片,免费增值"
Wonder Dynamics,"https://wonderdynamics.com","一个AI平台，可以将CG角色无缝地合成到真人实拍场景中，无需复杂的VFX流程。",,AI视频,专业,"VFX,动画,付费"
Pollinations,"https://pollinations.ai","一个提供多样化AI生成模型的平台，用户可以创作图片、视频和音频。",,AI平台,探索,"多模态,社区"
Decktopus,"https://www.decktopus.com","一个AI演示文稿制作工具，专注于帮助用户快速创建专业的商业提案和报告。",,AI办公,专业,"PPT,商业,付费"
Prezi,"https://prezi.com/ai-presentations","一个以其独特的缩放式演示而闻名的平台，现已集成AI功能来帮助生成演示内容。",,AI办公,常用,"PPT,集成"
Tango,"https://www.tango.us","一个可以自动捕捉你的工作流程并生成带截图的逐步操作指南的工具。",,AI办公,常用,"教程制作,自动化,免费增值"
Scribe,"https://scribehow.com","与Tango类似，可以自动记录屏幕操作并生成图文并茂的操作指南或SOP。",,AI办公,常用,"教程制作,自动化,免费增值"
xAI,"https://x.ai","Elon Musk创立的人工智能公司，旨在“理解宇宙的真实本质”，开发了Grok模型。",,AI平台,专业,"研究,官方"
Mistral AI,"https://mistral.ai","一家位于巴黎的AI创业公司，以其发布的高性能开源模型而闻名。",,AI平台,专业,"开源,模型,欧洲"
Cohere,"https://cohere.com","一家专注于为企业提供大型语言模型的AI公司，其模型擅长生成、分类和嵌入。",,AI平台,专业,"企业级,API"
AI21 Labs,"https://www.ai21.com","一家以色列AI公司，开发了Jurassic系列大型语言模型和Wordtune等写作工具。",,AI平台,专业,"研究,写作"
Lightricks,"https://www.lightricks.com","一家开发了多款流行创意应用的移动应用公司，如Facetune和Photoleap，深度集成AI功能。",,AI设计,常用,"移动应用,照片编辑"
Meitu,"https://www.meitu.com","美图秀秀的开发商，其应用中包含了大量AI驱动的美颜、修图和设计功能。",,AI设计,常用,"国产,美颜"
Remini,"https://remini.ai","一个流行的AI照片增强应用，尤其擅长修复模糊的旧照片和提升面部清晰度。",,AI设计,常用,"照片修复,免费增值,移动应用"
Erase.bg,"https://www.erase.bg","一个免费的AI背景移除工具，支持人物、产品、动物等多种主体。",,AI设计,常用,"抠图,免费"
Profile Picture AI,"https://www.profilepicture.ai","一个使用AI为用户生成多种风格的专业和创意头像的网站。",,AI绘画,探索,"头像,付费"
Hotpot.ai,"https://hotpot.ai","一个提供多种AI图形设计和图片编辑工具的平台，如AI艺术生成、头像制作、图片修复等。",,AI设计,探索,"多合一,免费增值"
